# Snapshot of 50 named palettes visible at https://coolors.co/palettes/trending on 2026-09-24.
# Original ordering and every displayed color are preserved. Untitled cards were skipped.
# Page position | Coolors title | Hex colors (hyphen separated)
1|Olive Garden Feast|606C38-283618-FEFAE0-DDA15E-BC6C25
2|Fiery Ocean|780000-C1121F-FDF0D5-003049-669BBC
3|Deep Sea|0D1321-1D2D44-3E5C76-748CAB-F0EBD8
4|Pastel Dreamland Adventure|CDB4DB-FFC8DD-FFAFCC-BDE0FE-A2D2FF
5|Dark Sunset|335C67-FFF3B0-E09F3E-9E2A2B-540B0E
6|Warm Autumn Glow|003049-D62828-F77F00-FCBF49-EAE2B7
7|Ocean Blue Serenity|03045E-023E8A-0077B6-0096C7-00B4D8-48CAE4-90E0EF-ADE8F4-CAF0F8
8|Golden Twilight|000814-001D3D-003566-FFC300-FFD60A
9|Leafy Green Garden|132A13-31572C-4F772D-90A955-ECF39E
10|Soft Pink Delight|FFE5EC-FFC2D1-FFB3C6-FF8FAB-FB6F92
12|Crimson Hues|250902-38040E-640D14-800E13-AD2831
13|Autumn Harvest|6F1D1B-BB9457-432818-99582A-FFE6A7
14|Earthy Forest Hues|DAD7CD-A3B18A-588157-3A5A40-344E41
15|Ocean Breeze|03045E-0077B6-00B4D8-90E0EF-CAF0F8
16|Earthy Tones|F0EAD2-DDE5B6-ADC178-A98467-6C584C
17|Fresh Greens|386641-6A994E-A7C957-F2E8CF-BC4749
18|Rustic Charm|FFFCF2-CCC5B9-403D39-252422-EB5E28
19|Fiery Red Sunset|03071E-370617-6A040F-9D0208-D00000-DC2F02-E85D04-F48C06-FAA307-FFBA08
20|Summer Ocean Breeze|E63946-F1FAEE-A8DADC-457B9D-1D3557
21|Pastel Dreams|FF99C8-FCF6BD-D0F4DE-A9DEF9-E4C1F9
22|Fiery Palette|5F0F40-9A031E-FB8B24-E36414-0F4C5C
23|Refreshing Summer Fun|8ECAE6-219EBC-023047-FFB703-FB8500
24|Bold Berry|F9DBBD-FFA5AB-DA627D-A53860-450920
25|Ocean Sunset|001219-005F73-0A9396-94D2BD-E9D8A6-EE9B00-CA6702-BB3E03-AE2012-9B2226
26|Vivid Nightfall|10002B-240046-3C096C-5A189A-7B2CBF-9D4EDD-C77DFF-E0AAFF
27|Warm Neutral Tones|582F0E-7F4F24-936639-A68A64-B6AD90-C2C5AA-A4AC86-656D4A-414833-333D29
28|Light Steel|F8F9FA-E9ECEF-DEE2E6-CED4DA-ADB5BD-6C757D-495057-343A40-212529
29|Peach Sorbet|F08080-F4978E-F8AD9D-FBC4AB-FFDAB9
30|Meadow Green|D9ED92-B5E48C-99D98C-76C893-52B69A-34A0A4-168AAD-1A759F-1E6091-184E77
31|Peachy Delight|D8E2DC-FFE5D9-FFCAD4-F4ACB7-9D8189
33|Rose Petal|880D1E-DD2D4A-F26A8D-F49CBB-CBEEF3
35|Vibrant Sunset|FF6D00-FF7900-FF8500-FF9100-FF9E00-240046-3C096C-5A189A-7B2CBF-9D4EDD
36|Red Sunburst|4F000B-720026-CE4257-FF7F51-FF9B54
37|Golden Summer Glow|0D3B66-FAF0CA-F4D35E-EE964B-F95738
38|Golden Summer Fields|CCD5AE-E9EDC9-FEFAE0-FAEDCD-D4A373
39|Classic Red Palette|0B090A-161A1D-660708-A4161A-BA181B-E5383B-B1A7A6-D3D3D3-F5F3F4-FFFFFF
40|Vibrant Tones|F94144-F3722C-F8961E-F9844A-F9C74F-90BE6D-43AA8B-4D908E-577590-277DA1
41|Whimsical Garden Delight|DAB6C4-7B886F-B4DC7F-FEFFA5-FFA0AC
42|Autumn Harvest|EDE0D4-E6CCB2-DDB892-B08968-7F5539-9C6644
43|Midnight Sky|00296B-003F88-00509D-FDC500-FFD500
44|Earthy Tones|2C6E49-4C956C-FEFEE3-FFC9B9-D68C45
45|Coastal Vibes|3D5A80-98C1D9-E0FBFC-EE6C4D-293241
46|Gothic Romance|0A0908-49111C-F2F4F3-A9927D-5E503F
47|Deep Sea|0D1B2A-1B263B-415A77-778DA9-E0E1DD
48|Vibrant Color Fiesta|FFBE0B-FB5607-FF006E-8338EC-3A86FF
49|Sunny Beach Day|264653-2A9D8F-E9C46A-F4A261-E76F51
50|Sunset Gradient|FF7B00-FF8800-FF9500-FFA200-FFAA00-FFB700-FFC300-FFD000-FFDD00-FFEA00
51|Fresh Greens|D8F3DC-B7E4C7-95D5B2-74C69D-52B788-40916C-2D6A4F-1B4332-081C15
52|Spicy Delight|FBBA72-CA5310-BB4D00-8F250C-691E06
53|Autumn Glow|780116-F7B538-DB7C26-D8572A-C32F27
